location 1,location 2,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgium,"United States, Oregon",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Belgium,"United States, Pennsylvania",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Belgium,"United States, Rhode Island",0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,"United States, South Carolina",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Belgium,"United States, Tennessee",0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
Belgium,"United States, Texas",0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2
Belgium,"United States, Utah",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
Belgium,"United States, Vermont",0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,"United States, Virginia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Belgium,"United States, Washington",0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Belgium,"United States, West Virginia",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
Belgium,"United States, Wisconsin",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Belgium,"United States, Wyoming",0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Canada,0.2,0.2,0.5,0.2,0.5,0.2,0.5,0.2,0.2,0.0,0.0,0.0
Brazil,Croatia,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.2,0.2,0.2
Brazil,Denmark,0.5,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0
Brazil,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Brazil,Finland,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.2,0.2,0.2,0.2,0.2
Brazil,France,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5
Brazil,Germany,0.5,0.0,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Brazil,Iceland,0.5,0.2,0.5,0.0,0.5,0.0,0.2,0.2,0.2,0.2,0.0,0.0
Brazil,Ireland,0.2,0.2,0.2,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,Italy,0.5,0.5,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.2,0.2,0.5
Brazil,Luxembourg,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.2,0.5,0.2,0.0,0.2
Brazil,Netherlands,0.2,0.5,0.5,0.0,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.0
Brazil,New Zealand,0.2,0.2,0.5,0.5,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.0
Brazil,Northern Ireland,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
Brazil,Norway,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.0,0.0
Brazil,Poland,0.5,0.2,0.5,0.5,0.5,1.0,1.0,0.2,0.2,0.2,0.2,0.2
Brazil,Scotland,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2
Brazil,Spain,0.2,1.0,1.0,0.2,0.2,0.2,1.0,0.5,0.5,0.5,0.5,0.2
Brazil,Sweden,0.5,0.2,1.0,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0
Brazil,"United States, Alabama",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2
Brazil,"United States, Alaska",0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Arizona",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Arkansas",0.2,0.0,0.2,0.0,0.0,0.5,0.2,0.2,0.2,0.0,0.0,0.0
Brazil,"United States, California",0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Colorado",0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Connecticut",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Delaware",0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Florida",0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Georgia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Hawaii",0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0
Brazil,"United States, Idaho",0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0
Brazil,"United States, Illinois",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Indiana",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Iowa",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Kansas",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Brazil,"United States, Kentucky",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,"United States, Louisiana",1.0,0.2,0.2,0.0,0.2,0.5,0.2,0.2,0.2,0.0,0.0,0.0
Brazil,"United States, Maine",0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
