location 1,location 2,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,New Zealand,6.16712789390807e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05,7.582183376879464e-05
Australia,Northern Ireland,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,9.676182152158175e-05
Australia,Norway,0.00021064258754460743,0.0001198207449433485,0.0001198207449433485,0.00021064258754460743,0.0001198207449433485,0.00021064258754460743,0.00021064258754460743,0.00021064258754460743,0.00021064258754460743,0.00021064258754460743,0.00021064258754460743,0.00021064258754460743
Australia,Poland,9.857025091057785e-05,0.0001198786599200414,9.857025091057785e-05,9.807304068162142e-05,0.0001198786599200414,5.468847873941132e-05,9.807304068162142e-05,9.857025091057785e-05,9.857025091057785e-05,9.857025091057785e-05,9.857025091057785e-05,9.857025091057785e-05
Australia,Scotland,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05
Australia,Spain,5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,0.00013730569388646847,0.00013730569388646847,0.00013730569388646847,0.00013730569388646847,0.00013730569388646847,0.00013730569388646847
Australia,Sweden,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05,8.543158458420937e-05
Australia,"United States, Alabama",0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00018345031168402547,0.00018345031168402547
Australia,"United States, Alaska",5.468847873941132e-05,5.468847873941132e-05,5.468847873941132e-05,0.0001721375861404026,0.0001721375861404026,0.0001721375861404026,0.0001721375861404026,0.0001721375861404026,0.0001721375861404026,0.0001721375861404026,0.0001721375861404026,0.0001721375861404026
Australia,"United States, Arizona",0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992
Australia,"United States, Arkansas",6.16712789390807e-05,6.16712789390807e-05,6.16712789390807e-05,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992
Australia,"United States, California",0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992
Australia,"United States, Colorado",0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501,0.00016118375488968501
Australia,"United States, Connecticut",0.0001757938191372137,0.00018080722794890758,0.00018080722794890758,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00017545018949934564,0.0001757938191372137,0.00017545018949934564
Australia,"United States, Delaware",0.0001398996403415528,0.0001398996403415528,0.0001398996403415528,0.0001398996403415528,0.0001398996403415528,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992
Australia,"United States, Florida",0.00016955726465050992,5.468847873941132e-05,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00016955726465050992,0.00015838408499644878,0.00015838408499644878,0.00015838408499644878,0.00015838408499644878
